INFO 2018-09-18 07:17:46,061 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_57uyBs8.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:46,190 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_oDj8S5A.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:46,201 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_3KUJr08.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:46,322 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_Okdz4jS.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:46,334 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_xPs7kBP.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:46,459 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_p9W46Et.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:46,472 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_Dz3uzqj.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:46,626 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_e1G2ujC.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:46,638 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_i6OS8Og.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:46,786 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_TMfMvGl.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:46,797 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_aP8esUw.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
INFO 2018-09-18 07:17:46,927 _save: images/story/story-01-title/chapter-01-title/challenge-01-title_Dz2jQOE.png images/story/story-01-title/chapter-01-title/challenge-01-title.png
INFO 2018-09-18 07:17:46,938 _save: images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title_b1KezIj.png images/story/story-01-title/chapter-01-title/challenge-01-title/question-01-title.png
